SPXT,S5UTIL,S5TELS,S5RLST,S5MATR,S5INFT,S5INDU,S5HLTH,S5FINL,S5ENRS,S5CONS,S5COND,RUTPINTR,RUMRINTR,RUMCINTR,RU20VATR,RU20INTR,RU20GRTR,RU10VATR,RU10GRTR,NDUEEGF,NDDUWXUS,NDDUUK,NDDUPXJ,NDDUNA,NDDUJN,NDDUE15X,LMBITR,LG30TRUU,LBUSTRUU,BCOMTR
1618.98,145.88,168.11,97.15,132.93,352.7,265.77,385.59,355.26,211.3,218.39,241.8771,2331.77,666.4257,2947.29,2863.55,1941.393,1843.342,467.151,393.4612,97.385,2218.279,2786.917,1308.071,2546.608,2653.436,2468.485,558.0707,317.581,1009.27,148.843
1628.51,147.8,171.43,97.43,133.16,363.03,266.09,384.28,354.15,211.01,219.13,241.4131,2349.98,664.6266,2943.07,2858.78,1936.245,1836.52,468.761,396.5235,98.825,2216.814,2768.599,1315.016,2562.579,2632.147,2481.602,558.6473,318.9528,1004.79,150.279
1643.48,146.47,173.74,98.16,135.32,381.59,265.82,381.1,356.07,210.05,218.13,241.5541,2373.8301,676.3619,2965.65,2901.98,1969.395,1871.898,472.097,401.282,100.1,2242.87,2814.072,1316.369,2588.863,2640.642,2515.214,559.9075,320.0004,1007.13,149.855
1653.69,145.85,172.57,97.58,138.32,384.57,268.28,380.44,361.18,211.43,216.15,244.7098,2388.6299,681.4285,2994.04,2924.15,1984.254,1885.831,476.717,403.002,102.079,2253.044,2817.015,1339.246,2605.91,2716.067,2501.221,560.0128,320.6761,1006.82,152.906
1642.95,146.92,171.03,97.37,138.22,380.21,263.92,378.81,358.61,210.65,214.51,245.5021,2372.0901,678.1411,2976.7,2893.68,1959.958,1859.088,475.152,398.9697,103.024,2237.384,2792.434,1354.581,2589.637,2716.053,2469.08,561.0722,321.8279,1012.11,154.458
1637.48,145.08,170.22,96.92,135.73,383.03,262.19,377.8,353.99,209.76,214.67,245.0015,2363.8301,686.924,2970.83,2920.88,1978.751,1877.285,472.062,399.0664,102.293,2208.209,2774.362,1353.727,2579.863,2635.563,2441.719,562.7392,322.0022,1012.14,153.983
1629.7,144.63,165.29,96.67,135.23,382.14,260.61,377.18,355.81,208.23,214.05,241.4679,2351.6299,683.1634,2962.94,2903.77,1966.364,1864.731,469.958,397.1951,102.288,2201.669,2754.889,1344.965,2567.558,2619.018,2444.204,563.4153,321.8517,1013.06,153.089
1631.72,145.19,166.24,96.37,132.19,379.49,260.31,381.64,357.46,207.96,214.33,242.0773,2355.3899,684.5332,2958.18,2908.25,1968.711,1866.262,469.787,398.0054,100.748,2185.228,2744.233,1342.159,2569.484,2583.813,2426.519,565.2556,321.8505,1017.9,152.814
1616.35,143.55,164.81,96.44,131.16,374.66,255.87,382.85,353.82,204.06,214.93,238.5898,2335.4199,679.2975,2931.55,2881.55,1947.547,1843.072,465.64,394.6711,100.036,2187.369,2745.23,1335.329,2546.197,2570.173,2438.233,567.3068,322.1901,1022.05,152.315
1606.2,144.17,164.02,97.01,127.29,370.03,254.67,383.13,350.69,203,216,236.4141,2320.9199,668.0807,2898.24,2845.87,1919.976,1813.478,462.811,391.2209,99.955,2160.301,2712.883,1334.309,2529.845,2577.593,2388.204,568.5715,322.4643,1022.19,150.785
1617.18,144.57,164.1,96.67,126.93,372.14,254.57,382.34,357.56,206.81,217.66,237.8876,2338.4099,670.0089,2912.54,2865.43,1927.937,1815.691,466.856,393.2278,98.972,2159.783,2730.571,1324.565,2548.581,2529.744,2397.905,569.2118,322.0071,1023.3,151.002
1591.04,144.15,161.59,96.02,123.6,360.73,248.66,381.55,353.17,201.92,216.66,234.0088,2302.53,662.0849,2863.27,2832.99,1893.966,1771.339,460.213,386.4684,97.9,2131.088,2697.502,1319.241,2508.144,2530.874,2346.518,570.77,321.3531,1022.52,152.449
1607.02,141.8,161.72,95.38,124.44,371.54,252.12,381.1,356.56,202.35,218.32,235.8432,2326.3401,669.2812,2890.37,2866.2,1917.727,1795.157,463.413,391.6134,98.559,2141.51,2699.683,1310.184,2533.398,2519.543,2378.396,570.1086,321.8028,1018.3,149.547
1591.08,141.67,159.35,94.9,124.2,358.14,252.69,378.51,355.48,200.98,218.62,234.4545,2302.03,661.3611,2865.97,2826.97,1885.876,1759.614,461.091,385.7753,98.435,2145.483,2692.14,1308.968,2506.694,2560.932,2377.905,569.8215,322.1705,1020.38,148.472
1579.41,139.43,155.78,95.18,124.88,343.79,252.34,384.2,354.92,199.71,219.44,234.1896,2282.5801,653.2974,2846.36,2808.16,1866.24,1734.022,458.565,381.6592,98.939,2124.683,2687.337,1322.654,2487.415,2470.558,2362.144,569.9187,322.5488,1020.41,147.516
